avgCYCLOMATIC_COMPLEXITY,NUM_OF_CHILDREN,DEP_ON_CHILD,PERCENT_PUB_DATA,avgLOC_TOTAL,avgLOC_EXECUTABLE,COUPLING_BETWEEN_OBJECTS,avgHALSTEAD_EFFORT,DL
5.565217,0,0,0,40.985507,33.521739,24,13296.29,1
6.233333,0,0,0,40.7,33.6,19,13488.54,1
1.610526,0,0,100,16.021053,11.578947,13,1386.678,1
5.75,0,0,0,50.285714,40.642857,21,14758.77,1
2.333333,0,0,5,14.0,10.833333,17,2861.838,1
2.380952,0,0,0,19.238095,13.428571,10,2431.322,1
3.615385,0,0,0,22.538462,18.307692,19,5323.303,1
2.0,0,0,0,16.565217,11.521739,14,3009.543,1
3.083333,1,1,0,20.166667,15.75,18,4539.076,1
3.0,1,1,0,19.333333,14.916667,18,3910.016,1
4.285714,4,0,0,38.285714,33.285714,9,4936.654,1
1.08,0,0,0,8.72,4.88,6,164.408,0
2.0,0,0,0,22.0,18.166667,5,7173.412,1
1.0,2,0,100,4.0,0.0,4,8.375,0
1.0,0,0,0,5.666667,3.0,4,146.98,0
4.542857,0,0,100,35.857143,28.314286,24,12038.0,1
3.56,0,0,0,25.96,19.92,23,8833.148,1
1.478261,0,0,0,16.695652,10.391304,9,839.8109,0
1.176471,0,0,0,3.235294,2.117647,2,480.6324,0
1.0,0,0,0,8.466667,5.066667,6,431.7767,0
1.222222,0,0,0,17.666667,12.0,5,2116.256,1
1.0,0,0,0,1.0,0.0,0,13.80333,0
1.0,0,0,0,2.0,0.0,0,14.244,0
2.090909,0,0,0,10.151515,6.424242,8,828.5812,0
3.916667,0,0,0,30.166667,22.75,15,14902.75,1
1.571429,0,0,0,9.142857,5.928571,11,549.7079,1
2.15,0,0,0,13.35,9.95,12,1917.686,1
3.666667,0,0,100,26.166667,18.0,4,5608.283,1
4.318182,0,0,17,36.136364,25.227273,14,7870.748,1
5.25,0,0,100,29.75,21.5,2,9606.573,0
1.0,0,0,0,3.666667,1.666667,1,4.0,0
5.105263,0,0,0,38.473684,32.578947,4,25755.48,1
4.25,0,0,0,21.5,15.0,3,16338.95,1
3.6,0,0,0,34.8,24.8,5,6418.894,0
1.875,1,0,100,16.875,12.125,5,1160.975,0
1.666667,1,0,0,9.0,6.333333,0,1285.153,0
1.0,0,0,0,2.4,0.0,3,16.328,0
2.0,0,0,0,10.5,5.5,0,355.525,0
1.0,0,0,50,2.0,0.0,1,24.53,0
4.45,0,0,50,29.3,21.2,16,7435.989,1
1.4,0,0,100,6.733333,4.333333,3,414.6633,0
1.636364,0,0,0,10.545455,6.818182,9,836.3691,1
1.857143,0,0,0,6.285714,4.285714,3,264.3886,0
1.666667,0,0,0,10.777778,6.333333,10,1520.952,1
5.428571,0,0,0,27.285714,21.285714,11,7422.62,0
1.6,0,0,0,12.8,0.0,4,0.0,1
1.0,0,0,0,9.8,0.0,4,0.0,0
1.0,0,0,0,23.0,2.6,4,401.788,1
5.826087,0,0,0,39.043478,30.304348,14,9427.804,1
1.285714,0,0,0,7.761905,4.809524,12,572.7457,0
1.05,1,0,0,2.25,0.2,0,114.1325,0
2.375,0,0,0,19.625,14.125,13,3123.418,1
5.836735,0,0,0,29.418367,21.581633,10,20141.5,1
5.285714,0,0,67,43.785714,31.5,14,11325.12,0
1.733333,0,0,0,15.333333,8.666667,10,1008.942,0
1.0,0,0,0,8.647059,0.235294,5,0.985294,0
1.285714,0,0,0,24.5,0.214286,5,1.267857,0
1.75,0,0,0,16.0,0.0,4,0.0,0
1.0,0,0,0,2.5,0.5,1,19.385,0
5.454545,5,0,30,35.045455,27.181818,14,8912.434,0
6.0,0,0,0,37.75,32.375,14,6338.664,0
4.5,0,0,0,33.8,27.5,18,11956.85,0
5.5,0,0,0,38.125,30.125,14,6452.371,1
7.0,0,0,0,42.333333,35.666667,17,8033.59,0
5.333333,0,0,0,34.833333,28.666667,17,5801.14,0
2.8,0,0,0,20.0,14.7,14,3281.062,0
3.0,0,0,0,23.0,17.555556,12,3632.836,0
1.166667,0,0,0,5.625,3.208333,6,440.5667,0
2.666667,0,0,0,21.0,15.333333,15,2872.083,0
2.111111,0,0,0,16.111111,11.333333,14,1830.057,0
2.125,0,0,0,14.0,9.875,10,1316.824,0
1.0,0,0,0,4.333333,0.333333,1,35.01167,0
1.0,0,0,0,3.5,1.5,1,69.4,0
1.0,0,0,0,1.666667,0.0,1,9.583333,0
1.0,2,0,0,2.0,0.0,0,8.375,0
3.761905,0,0,0,25.142857,18.285714,14,8525.145,1
2.2,0,0,33,14.6,10.066667,10,1488.366,0
2.103896,0,0,0,14.38961,9.545455,9,2981.452,0
6.454545,0,0,100,79.818182,55.954546,20,22530.42,1
3.171429,0,0,0,32.428571,25.0,12,4693.968,1
1.944444,0,0,0,13.055556,9.083333,13,979.6533,1
3.666667,0,0,0,23.5,19.0,16,5696.767,1
1.666667,0,0,0,16.555556,10.5,9,3436.059,1
1.666667,0,0,0,12.666667,7.066667,7,941.586,1
1.428571,0,0,0,8.214286,6.214286,9,4381.772,1
1.0,0,0,0,18.125,10.5625,4,1410.484,1
1.625,0,0,0,14.5,10.625,3,1059.696,1
2.4,0,0,0,14.2,8.6,6,1855.82,0
1.0,0,0,0,4.333333,2.166667,1,21.435,0
2.580645,0,0,100,16.903226,12.129032,22,3450.514,1
1.96875,0,0,11,10.28125,6.34375,16,910.2791,1
1.771429,0,0,100,11.828571,7.714286,19,1400.306,1
1.809524,0,0,0,10.0,6.761905,6,1109.126,1
2.0,0,0,0,11.571429,8.071429,9,1814.401,1
2.076923,1,0,0,8.307692,6.153846,4,549.1808,0
2.3,0,0,0,13.7,9.1,16,2485.017,1
3.142857,0,0,0,25.714286,20.428571,8,4802.074,1
2.333333,0,0,0,17.222222,11.777778,9,2638.781,1
2.333333,0,0,0,15.833333,12.0,7,2230.385,0
1.8,0,0,0,10.4,7.8,5,1814.772,0
1.2,0,0,0,4.6,3.0,5,74.202,0
1.0,0,0,0,4.6,2.0,1,7.2,0
7.263158,0,0,0,73.789474,50.31579,15,19934.23,1
11.083333,0,0,0,72.833333,61.0,14,32843.28,0
3.333333,0,0,95,32.888889,25.166667,14,5209.669,1
3.357143,0,0,0,24.357143,18.785714,12,4530.644,0
2.866667,1,0,0,22.666667,16.8,11,2923.974,1
1.695652,2,0,0,13.695652,8.217391,10,1673.935,0
3.181818,0,0,0,24.727273,17.727273,13,6954.233,0
1.0,3,0,67,3.333333,0.0,13,22.59667,0
1.333333,0,0,100,3.333333,2.0,0,35.82667,0
2.875,0,0,0,27.208333,17.916667,5,4576.792,0
2.666667,0,0,0,18.333333,13.25,10,2561.142,0
